time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
3.000,23,24,1,-174.836,-1.010,0.000,0.819,0,-56.860,-78.694,-74.779,-89.100,-88.180,-85.369,-76.705,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,24,25,7,-549.175,10.318,0.000,0.246,0,-75.340,-85.891,-80.103,-93.028,-91.084,-87.128,-73.553,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
4.000,0,1,7,-366.168,467.038,0.000,0.819,0,-76.601,-84.845,-68.814,-90.204,-85.382,-77.998,-53.117,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,1,2,1,-297.551,-80.782,0.000,0.819,0,-65.964,-81.501,-78.147,-90.848,-89.922,-86.971,-77.183,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,2,3,2,611.035,221.523,0.000,0.532,0,-78.082,-62.437,-78.613,-73.091,-81.187,-84.937,-87.322,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,3,4,4,1034.663,188.104,0.000,0.623,0,-85.929,-75.851,-86.373,-66.249,-84.646,-89.578,-92.428,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,4,5,5,432.345,661.204,0.000,0.205,0,-81.263,-78.446,-72.504,-76.508,-67.806,-75.340,-84.205,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,5,6,5,783.836,955.633,0.000,0.582,0,-88.564,-85.057,-83.509,-73.950,-64.821,-81.161,-90.153,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,6,7,4,1217.727,815.352,0.000,0.647,0,-91.344,-86.457,-88.851,-69.487,-80.221,-88.507,-94.207,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,7,8,5,993.170,1104.624,0.000,0.229,0,-91.565,-88.214,-87.568,-76.905,-73.945,-85.086,-92.889,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,8,9,5,1258.444,1368.485,0.000,0.082,0,-95.228,-92.413,-92.037,-83.499,-82.326,-89.530,-96.101,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,9,10,3,151.243,291.514,0.000,0.565,0,-66.985,-72.260,-63.059,-82.910,-81.256,-79.850,-78.909,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,10,11,2,998.413,-161.730,0.000,0.262,0,-85.293,-74.573,-88.052,-78.374,-88.932,-92.067,-93.161,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,11,12,6,145.653,1137.700,0.000,0.000,0,-87.345,-87.968,-78.186,-86.152,-69.358,-59.035,-83.524,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,12,13,4,984.452,189.674,0.000,0.614,0,-85.149,-74.457,-85.624,-66.089,-84.169,-89.072,-91.903,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,13,14,3,-237.795,603.673,0.000,0.500,0,-78.053,-84.327,-63.174,-88.645,-82.215,-72.532,-64.519,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,14,15,1,-591.231,-174.855,0.000,0.221,0,-77.222,-86.739,-83.338,-94.038,-92.813,-89.579,-78.842,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
